Tanggal;Harga (IDR-USD)
Dec-98;8000
Jan-99;8850
Feb-99;8800
Mar-99;8650
Apr-99;8017.5
May-99;8115
Jun-99;6705
Jul-99;6880
Aug-99;7675
Sep-99;8300
Oct-99;6825
Nov-99;7315
Dec-99;6987.5
Jan-00;7445
Feb-00;7435
Mar-00;7570
Apr-00;7925
May-00;8645
Jun-00;8760
Jul-00;8925
Aug-00;8325
Sep-00;8760
Oct-00;9347.5
Nov-00;9530
Dec-00;9675
Jan-01;9450
Feb-01;9865
Mar-01;10417.5
Apr-01;11600
May-01;11125
Jun-01;11390
Jul-01;9500
Aug-01;8862.5
Sep-01;9707.5
Oct-01;10475
Nov-01;10465
Dec-01;10400
Jan-02;10315
Feb-02;10150
Mar-02;9825
Apr-02;9330
May-02;8697.5
Jun-02;8713
Jul-02;9064.5
Aug-02;8855
Sep-02;8994
Oct-02;9230
Nov-02;8977.5
Dec-02;8950
Jan-03;8870
Feb-03;8883.5
Mar-03;8901.5
Apr-03;8673.5
May-03;8310
Jun-03;8250
Jul-03;8510
Aug-03;8485
Sep-03;8395
Oct-03;8496.5
Nov-03;8505
Dec-03;8422.5
Jan-04;8458.5
Feb-04;8455
Mar-04;8563.5
Apr-04;8783
May-04;9267.5
Jun-04;9395
Jul-04;9142
Aug-04;9367.5
Sep-04;9149.5
Oct-04;9087.5
Nov-04;9000
Dec-04;9282.5
Jan-05;9165
Feb-05;9264.5
Mar-05;9471
Apr-05;9570
May-05;9518
Jun-05;9760
Jul-05;9805
Aug-05;10300
Sep-05;10300
Oct-05;10122.5
Nov-05;10025
Dec-05;9830
Jan-06;9370
Feb-06;9182.5
Mar-06;9087
Apr-06;8785
May-06;9255
Jun-06;9263
Jul-06;9095
Aug-06;9117
Sep-06;9205
Oct-06;9094
Nov-06;9165
Dec-06;8993.5
Jan-07;9100
Feb-07;9131.5
Mar-07;9120
Apr-07;9088
May-07;8827
Jun-07;9035
Jul-07;9225
Aug-07;9390
Sep-07;9145
Oct-07;9097.5
Nov-07;9370
Dec-07;9392.5
Jan-08;9246.5
Feb-08;9065
Mar-08;9215
Apr-08;9222
May-08;9315
Jun-08;9220
Jul-08;9095
Aug-08;9150
Sep-08;9415
Oct-08;10900
Nov-08;12025
Dec-08;10900
Jan-09;11380
Feb-09;11980
Mar-09;11555
Apr-09;10585
May-09;10290
Jun-09;10207.5
Jul-09;9925
Aug-09;10080
Sep-09;9645
Oct-09;9550
Nov-09;9455
Dec-09;9425
Jan-10;9350
Feb-10;9337
Mar-10;9090
Apr-10;9012.5
May-10;9175
Jun-10;9060
Jul-10;8940
Aug-10;9035
Sep-10;8925
Oct-10;8935
Nov-10;9029
Dec-10;9005
Jan-11;9043
Feb-11;8818
Mar-11;8705
Apr-11;8563
May-11;8532
Jun-11;8573
Jul-11;8495
Aug-11;8528
Sep-11;8780
Oct-11;8850
Nov-11;9105
Dec-11;9060
Jan-12;8980
Feb-12;9010
Mar-12;9139
Apr-12;9188
May-12;9390
Jun-12;9385
Jul-12;9440
Aug-12;9530
Sep-12;9565
Oct-12;9600
Nov-12;9588
Dec-12;9630
Jan-13;9690
Feb-13;9660
Mar-13;9715
Apr-13;9720
May-13;9790
Jun-13;9920
Jul-13;10270
Aug-13;10910
Sep-13;11570
Oct-13;11265
Nov-13;11955
Dec-13;12160
Jan-14;12205
Feb-14;11604
Mar-14;11355
Apr-14;11558
May-14;11670
Jun-14;11845
Jul-14;11575
Aug-14;11685
Sep-14;12180
Oct-14;12080
Nov-14;12199
Dec-14;12380
Jan-15;12665
Feb-15;12920
Mar-15;13070
Apr-15;12960
May-15;13223
Jun-15;13330
Jul-15;13525
Aug-15;14045
Sep-15;14645
Oct-15;13675
Nov-15;13830
Dec-15;13785
Jan-16;13770
Feb-16;13367
Mar-16;13255
Apr-16;13180
May-16;13655
Jun-16;13210
Jul-16;13097
Aug-16;13265
Sep-16;13047
Oct-16;13047
Nov-16;13550
Dec-16;13470
Jan-17;13347
Feb-17;13331
Mar-17;13323
Apr-17;13327
May-17;13321
Jun-17;13325
Jul-17;13324
Aug-17;13342
Sep-17;13470
Oct-17;13560
Nov-17;13524
Dec-17;13565
Jan-18;13387
Feb-18;13740
Mar-18;13760
Apr-18;13910
May-18;13890
Jun-18;14325
Jul-18;14415
Aug-18;14725
Sep-18;14900
Oct-18;15200
Nov-18;14300
Dec-18;14375
Jan-19;13970
Feb-19;14060
Mar-19;14235
Apr-19;14245
May-19;14270
Jun-19;14125
Jul-19;14012
Aug-19;14180
Sep-19;14190
Oct-19;14032
Nov-19;14100
Dec-19;13880
Jan-20;13650
Feb-20;14340
Mar-20;16300
Apr-20;14825
May-20;14575
Jun-20;14180
Jul-20;14530
Aug-20;14560
Sep-20;14840
Oct-20;14620
Nov-20;14090
Dec-20;14040
Jan-21;14020
Feb-21;14240
Mar-21;14520
Apr-21;14440
May-21;14275
Jun-21;14495
Jul-21;14460
Aug-21;14265
Sep-21;14310
Oct-21;14165
Nov-21;14320
Dec-21;14250
Jan-22;14380
Feb-22;14365
Mar-22;14368
Apr-22;14495
May-22;14580
Jun-22;14895
Jul-22;14830
Aug-22;14840
Sep-22;15225
Oct-22;15595
Nov-22;15730
Dec-22;15565
Jan-23;14985
Feb-23;15245
Mar-23;14990
Apr-23;14665
May-23;14985
Jun-23;14990
Jul-23;15075
Aug-23;15225
Sep-23;15450
Oct-23;15880
Nov-23;15505
Dec-23;15395
Jan-24;15775
Feb-24;15710
Mar-24;15850
Apr-24;16255
May-24;16245
Jun-24;16370
Jul-24;16255
Aug-24;15450
Sep-24;15135
Oct-24;15690
Nov-24;15840
Dec-24;16090
Jan-25;16300
