Tanggal;Data
Dec-98;1.41 %
Jan-99;2.96 %
Feb-99;1.27 %
Mar-99;-0.19 %
Apr-99;-0.67 %
May-99;-0.29 %
Jun-99;-0.33 %
Jul-99;-1.06 %
Aug-99;-0.92 %
Sep-99;-0.69 %
Oct-99;0.06 %
Nov-99;0.10 %
Dec-99;1.75 %
Jan-00;1.31 %
Feb-00;0.08 %
Mar-00;-0.46 %
Apr-00;0.56 %
May-00;0.85 %
Jun-00;0.50 %
Jul-00;1.29 %
Aug-00;0.51 %
Sep-00;-0.06 %
Oct-00;1.16 %
Nov-00;1.33 %
Dec-00;1.95 %
Jan-01;0.32 %
Feb-01;0.85 %
Mar-01;0.90 %
Apr-01;0.47 %
May-01;1.13 %
Jun-01;1.67 %
Jul-01;2.11 %
Aug-01;-0.20 %
Sep-01;0.63 %
Oct-01;0.68 %
Nov-01;1.72 %
Dec-01;1.61 %
Jan-02;2.12 %
Feb-02;1.13 %
Mar-02;0.31 %
Apr-02;-0.20 %
May-02;0.81 %
Jun-02;0.30 %
Jul-02;0.70 %
Aug-02;0.30 %
Sep-02;0.60 %
Oct-02;0.49 %
Nov-02;1.78 %
Dec-02;1.17 %
Jan-03;0.95 %
Feb-03;0.19 %
Mar-03;-0.19 %
Apr-03;0.29 %
May-03;0.28 %
Jun-03;0.18 %
Jul-03;0.00 %
Aug-03;0.67 %
Sep-03;0.37 %
Oct-03;0.56 %
Nov-03;0.93 %
Dec-03;0.82 %
Jan-04;0.64 %
Feb-04;-0.10 %
Mar-04;0.37 %
Apr-04;0.99 %
May-04;0.89 %
Jun-04;0.44 %
Jul-04;0.45 %
Aug-04;0.08 %
Sep-04;0.00 %
Oct-04;0.53 %
Nov-04;0.96 %
Dec-04;1.04 %
Jan-05;1.37 %
Feb-05;-0.17 %
Mar-05;1.95 %
Apr-05;0.32 %
May-05;0.21 %
Jun-05;0.50 %
Jul-05;0.78 %
Aug-05;0.55 %
Sep-05;0.68 %
Oct-05;8.71 %
Nov-05;1.31 %
Dec-05;-0.04 %
Jan-06;1.35 %
Feb-06;0.59 %
Mar-06;0.03 %
Apr-06;0.04 %
May-06;0.38 %
Jun-06;0.45 %
Jul-06;0.45 %
Aug-06;0.32 %
Sep-06;0.38 %
Oct-06;0.87 %
Nov-06;0.34 %
Dec-06;1.22 %
Jan-07;1.03 %
Feb-07;0.62 %
Mar-07;0.23 %
Apr-07;-0.16 %
May-07;0.10 %
Jun-07;0.23 %
Jul-07;0.72 %
Aug-07;0.74 %
Sep-07;0.81 %
Oct-07;0.79 %
Nov-07;0.19 %
Dec-07;1.10 %
Jan-08;1.77 %
Feb-08;0.66 %
Mar-08;0.95 %
Apr-08;0.57 %
May-08;1.41 %
Jun-08;1.05 %
Jul-08;1.37 %
Aug-08;0.51 %
Sep-08;0.97 %
Oct-08;0.45 %
Nov-08;0.12 %
Dec-08;-0.04 %
Jan-09;-0.07 %
Feb-09;0.21 %
Mar-09;0.22 %
Apr-09;-0.31 %
May-09;0.04 %
Jun-09;0.11 %
Jul-09;0.45 %
Aug-09;0.56 %
Sep-09;1.05 %
Oct-09;0.19 %
Nov-09;-0.03 %
Dec-09;0.33 %
Jan-10;0.84 %
Feb-10;0.31 %
Mar-10;-0.16 %
Apr-10;0.15 %
May-10;0.29 %
Jun-10;0.97 %
Jul-10;1.57 %
Aug-10;0.76 %
Sep-10;0.44 %
Oct-10;0.06 %
Nov-10;0.60 %
Dec-10;0.92 %
Jan-11;0.89 %
Feb-11;0.13 %
Mar-11;-0.32 %
Apr-11;-0.31 %
May-11;0.12 %
Jun-11;0.55 %
Jul-11;0.67 %
Aug-11;0.93 %
Sep-11;0.27 %
Oct-11;-0.12 %
Nov-11;0.34 %
Dec-11;0.57 %
Jan-12;0.76 %
Feb-12;0.05 %
Mar-12;0.07 %
Apr-12;0.21 %
May-12;0.07 %
Jun-12;0.62 %
Jul-12;0.70 %
Aug-12;0.95 %
Sep-12;0.01 %
Oct-12;0.16 %
Nov-12;0.07 %
Dec-12;0.54 %
Jan-13;0.60 %
Feb-13;0.70 %
Mar-13;0.47 %
Apr-13;0.05 %
May-13;0.10 %
Jun-13;1.02 %
Jul-13;3.02 %
Aug-13;0.99 %
Sep-13;-0.25 %
Oct-13;0.18 %
Nov-13;0.16 %
Dec-13;0.45 %
Jan-14;1.07 %
Feb-14;0.26 %
Mar-14;0.08 %
Apr-14;-0.02 %
May-14;0.16 %
Jun-14;0.43 %
Jul-14;0.93 %
Aug-14;0.47 %
Sep-14;0.27 %
Oct-14;0.47 %
Nov-14;1.50 %
Dec-14;2.46 %
Jan-15;-0.24 %
Feb-15;-0.36 %
Mar-15;0.17 %
Apr-15;0.36 %
May-15;0.50 %
Jun-15;0.54 %
Jul-15;0.93 %
Aug-15;0.39 %
Sep-15;-0.05 %
Oct-15;-0.08 %
Nov-15;0.21 %
Dec-15;0.96 %
Jan-16;0.51 %
Feb-16;-0.09 %
Mar-16;0.19 %
Apr-16;-0.45 %
May-16;0.24 %
Jun-16;0.66 %
Jul-16;0.69 %
Aug-16;-0.02 %
Sep-16;0.22 %
Oct-16;0.14 %
Nov-16;0.47 %
Dec-16;0.42 %
Jan-17;0.97 %
Feb-17;0.23 %
Mar-17;-0.02 %
Apr-17;0.09 %
May-17;0.39 %
Jun-17;0.69 %
Jul-17;0.22 %
Aug-17;-0.07 %
Sep-17;0.13 %
Oct-17;0.01 %
Nov-17;0.20 %
Dec-17;0.71 %
Jan-18;0.62 %
Feb-18;0.17 %
Mar-18;0.20 %
Apr-18;0.10 %
May-18;0.21 %
Jun-18;0.59 %
Jul-18;0.28 %
Aug-18;-0.05 %
Sep-18;-0.18 %
Oct-18;0.28 %
Nov-18;0.27 %
Dec-18;0.62 %
Jan-19;0.33 %
Feb-19;-0.08 %
Mar-19;0.11 %
Apr-19;0.44 %
May-19;0.68 %
Jun-19;0.55 %
Jul-19;0.31 %
Aug-19;0.12 %
Sep-19;-0.27 %
Oct-19;0.02 %
Nov-19;0.14 %
Dec-19;0.34 %
Jan-20;0.29 %
Feb-20;0.28 %
Mar-20;0.10 %
Apr-20;0.08 %
May-20;0.07 %
Jun-20;0.18 %
Jul-20;-0.10 %
Aug-20;-0.05 %
Sep-20;-0.05 %
Oct-20;0.07 %
Nov-20;0.28 %
Dec-20;0.45 %
Jan-21;0.26 %
Feb-21;0.10 %
Mar-21;0.08 %
Apr-21;0.13 %
May-21;0.32 %
Jun-21;-0.16 %
Jul-21;0.08 %
Aug-21;0.03 %
Sep-21;-0.04 %
Oct-21;0.12 %
Nov-21;0.37 %
Dec-21;0.57 %
Jan-22;0.56 %
Feb-22;-0.02 %
Mar-22;0.66 %
Apr-22;0.95 %
May-22;0.40 %
Jun-22;0.61 %
Jul-22;0.64 %
Aug-22;-0.21 %
Sep-22;1.17 %
Oct-22;-0.11 %
Nov-22;0.09 %
Dec-22;0.66 %
Jan-23;0.34 %
Feb-23;0.16 %
Mar-23;0.18 %
Apr-23;0.33 %
May-23;0.09 %
Jun-23;0.14 %
Jul-23;0.21 %
Aug-23;-0.02 %
Sep-23;0.19 %
Oct-23;0.17 %
Nov-23;0.38 %
Dec-23;0.41 %
Jan-24;0.04 %
Feb-24;0.37 %
Mar-24;0.52 %
Apr-24;0.25 %
May-24;-0.03 %
Jun-24;-0.08 %
Jul-24;-0.18 %
Aug-24;-0.03 %
Sep-24;-0.12 %
Oct-24;0.08 %
Nov-24;0.30 %
Dec-24;0.44 %
Jan-25;-0.76 %
