Tanggal;Oil
Dec-98;10,41
Jan-99;11,44
Feb-99;10,75
Mar-99;13,17
Apr-99;15,87
May-99;16,06
Jun-99;16,39
Jul-99;18,99
Aug-99;20,27
Sep-99;22,7
Oct-99;21,95
Nov-99;24,16
Dec-99;25,1
Jan-00;25,31
Feb-00;27,22
Mar-00;27,49
Apr-00;23,47
May-00;27,19
Jun-00;29,62
Jul-00;28,18
Aug-00;29,26
Sep-00;32,08
Oct-00;31,4
Nov-00;32,33
Dec-00;25,2
Jan-01;25,96
Feb-01;27,24
Mar-01;25,02
Apr-01;25,72
May-01;27,55
Jun-01;26,97
Jul-01;24,8
Aug-01;25,82
Sep-01;25,21
Oct-01;20,73
Nov-01;18,69
Dec-01;18,52
Jan-02;19,15
Feb-02;19,98
Mar-02;23,64
Apr-02;25,43
May-02;25,67
Jun-02;24,49
Jul-02;25,75
Aug-02;26,78
Sep-02;28,28
Oct-02;27,53
Nov-02;24,54
Dec-02;27,89
Jan-03;30,75
Feb-03;32,88
Mar-03;30,36
Apr-03;25,56
May-03;26,06
Jun-03;27,92
Jul-03;28,59
Aug-03;29,68
Sep-03;26,88
Oct-03;29,01
Nov-03;29,12
Dec-03;29,97
Jan-04;31,37
Feb-04;31,33
Mar-04;33,67
Apr-04;33,71
May-04;37,56
Jun-04;35,54
Jul-04;37,89
Aug-04;42,08
Sep-04;41,6
Oct-04;46,88
Nov-04;42,13
Dec-04;39,04
Jan-05;42,97
Feb-05;44,82
Mar-05;50,94
Apr-05;50,64
May-05;47,83
Jun-05;53,89
Jul-05;56,37
Aug-05;61,89
Sep-05;61,69
Oct-05;58,19
Nov-05;55,04
Dec-05;56,43
Jan-06;62,46
Feb-06;59,7
Mar-06;60,93
Apr-06;67,97
May-06;68,68
Jun-06;68,29
Jul-06;72,45
Aug-06;71,81
Sep-06;62,12
Oct-06;57,91
Nov-06;58,14
Dec-06;60,99
Jan-07;53,52
Feb-07;57,56
Mar-07;60,6
Apr-07;65,06
May-07;65,16
Jun-07;68,19
Jul-07;73,6
Aug-07;70,13
Sep-07;76,76
Oct-07;81,97
Nov-07;91,34
Dec-07;89,52
Jan-08;90,69
Feb-08;93,39
Mar-08;101,84
Apr-08;108,76
May-08;122,63
Jun-08;131,52
Jul-08;132,83
Aug-08;114,57
Sep-08;99,66
Oct-08;72,69
Nov-08;53,97
Dec-08;41,34
Jan-09;43,86
Feb-09;41,84
Mar-09;46,65
Apr-09;50,28
May-09;58,15
Jun-09;69,15
Jul-09;64,67
Aug-09;71,63
Sep-09;68,35
Oct-09;74,08
Nov-09;77,55
Dec-09;74,88
Jan-10;77,12
Feb-10;74,76
Mar-10;79,3
Apr-10;84,18
May-10;75,62
Jun-10;74,73
Jul-10;74,58
Aug-10;75,83
Sep-10;76,12
Oct-10;81,72
Nov-10;84,53
Dec-10;90,01
Jan-11;92,69
Feb-11;97,91
Mar-11;108,65
Apr-11;116,24
May-11;108,07
Jun-11;105,85
Jul-11;107,92
Aug-11;100,49
Sep-11;100,82
Oct-11;99,85
Nov-11;105,41
Dec-11;104,23
Jan-12;107,07
Feb-12;112,69
Mar-12;117,79
Apr-12;113,67
May-12;104,09
Jun-12;90,73
Jul-12;96,75
Aug-12;105,27
Sep-12;106,28
Oct-12;103,41
Nov-12;101,17
Dec-12;101,19
Jan-13;105,1
Feb-13;107,64
Mar-13;102,52
Apr-13;98,85
May-13;99,37
Jun-13;99,74
Jul-13;105,26
Aug-13;108,16
Sep-13;108,76
Oct-13;105,43
Nov-13;102,63
Dec-13;105,48
Jan-14;102,1
Feb-14;104,83
Mar-14;104,04
Apr-14;104,87
May-14;105,71
Jun-14;108,37
Jul-14;105,23
Aug-14;100,05
Sep-14;95,85
Oct-14;86,08
Nov-14;76,99
Dec-14;60,7
Jan-15;47,11
Feb-15;54,79
Mar-15;52,83
Apr-15;57,54
May-15;62,51
Jun-15;61,31
Jul-15;54,34
Aug-15;45,69
Sep-15;46,28
Oct-15;46,96
Nov-15;43,11
Dec-15;36,57
Jan-16;29,78
Feb-16;31,03
Mar-16;37,34
Apr-16;40,75
May-16;45,94
Jun-16;47,69
Jul-16;44,13
Aug-16;44,88
Sep-16;45,04
Oct-16;49,29
Nov-16;45,26
Dec-16;52,62
Jan-17;53,59
Feb-17;54,35
Mar-17;50,9
Apr-17;52,16
May-17;49,89
Jun-17;46,17
Jul-17;47,66
Aug-17;49,94
Sep-17;52,95
Oct-17;54,92
Nov-17;59,93
Dec-17;61,19
Jan-18;66,23
Feb-18;63,46
Mar-18;64,17
Apr-18;68,79
May-18;73,43
Jun-18;71,98
Jul-18;72,67
Aug-18;71,08
Sep-18;75,36
Oct-18;76,73
Nov-18;62,32
Dec-18;53,96
Jan-19;56,58
Feb-19;61,13
Mar-19;63,79
Apr-19;68,58
May-19;66,83
Jun-19;59,76
Jul-19;61,48
Aug-19;57,67
Sep-19;60,04
Oct-19;57,27
Nov-19;60,4
Dec-19;63,35
Jan-20;61,63
Feb-20;53,35
Mar-20;32,2
Apr-20;21,04
May-20;30,38
Jun-20;39,46
Jul-20;42,07
Aug-20;43,44
Sep-20;40,6
Oct-20;39,9
Nov-20;42,3
Dec-20;48,73
Jan-21;53,6
Feb-21;60,46
Mar-21;63,83
Apr-21;62,95
May-21;66,4
Jun-21;71,8
Jul-21;73,28
Aug-21;68,87
Sep-21;72,8
Oct-21;82,06
Nov-21;79,92
Dec-21;72,87
Jan-22;83,92
Feb-22;93,54
Mar-22;112,4
Apr-22;103,41
May-22;110,1
Jun-22;116,8
Jul-22;105,08
Aug-22;95,97
Sep-22;88,22
Oct-22;90,33
Nov-22;87,38
Dec-22;78,07
Jan-23;80,41
Feb-23;80,25
Mar-23;76,47
Apr-23;82,46
May-23;74,12
Jun-23;73,26
Jul-23;78,98
Aug-23;84,72
Sep-23;92,22
Oct-23;89,08
Nov-23;81,35
Dec-23;75,72
Jan-24;77,67
Feb-24;80,55
Mar-24;83,55
Apr-24;88,01
May-24;81,45
Jun-24;81,21
Jul-24;83,26
Aug-24;78,12
Sep-24;72,42
Oct-24;73,97
Nov-24;72,29
Dec-24;72,31
Jan-25;78,16
